exchange,inputdate,companyName,valueEUR,tradeSignificance
	FIRST NORTH SWEDEN,20170102,JAYS GROUP AB,34488.2739,3
	FIRST NORTH SWEDEN,20170102,JAYS GROUP AB,15379.0623,3
	FIRST NORTH SWEDEN,20170102,JAYS GROUP AB,15839.9333,3
NASDAQ STOCKHOLM AB,20170102,B&B TOOLS AB,56237.9216,3
NASDAQ STOCKHOLM AB,20170102,ICA GRUPPEN AB,21639.6636,3
Istanbul (Turkey),20170102,NET HOLDING AS,185183.9886,3
Istanbul (Turkey),20170102,NET HOLDING AS,150325.4645,3
Istanbul (Turkey),20170102,NET HOLDING AS,149939.2942,3
off exchange,20170102,BYGGPARTNER I DALARNA HLDG,298151.6915,2
off exchange,20170102,SAY REKLAMCILIK YAPI DEKORAS,1390371.0904,2
off exchange,20170102,HOEGH LNG HOLDING LTD,356932.0171,1
off exchange,20170102,HOEGH LNG HOLDING LTD,356932.0171,1
off exchange,20170102,HOEGH LNG HOLDING LTD,356932.0171,1
off exchange,20170102,HOEGH LNG HOLDING LTD,356932.0171,1
off exchange,20170102,HOEGH LNG HOLDING LTD,28901.2953,1
off exchange,20170102,MONNARI TRADE SA,407752.0252,2
off exchange,20170102,MONNARI TRADE SA,406851.8013,2
Istanbul (Turkey),20170102,GEN YATIRIM HOLDING AS,4749.8203,3
OMX-Copenhagen (Denmark),20170102,BLUE VISION A/S,3204.4438,3
OMX-Copenhagen (Denmark),20170102,BLUE VISION A/S,7130.8454,3
off exchange,20170102,ARCUS ASA,21282739.0195,2
Oslobors (Norway),20170102,ARCUS ASA,4087133.0115,1
Oslobors (Norway),20170102,ARCUS ASA,2268542.6555,3
Oslobors (Norway),20170102,ARCUS ASA,1141256.7256,3
Oslobors (Norway),20170102,ARCUS ASA,49256.3143,3
Oslobors (Norway),20170102,ARCUS ASA,1606739.05,3
off exchange,20170102,ARCUS ASA,21381884.5556,2
ATHEX (Greece),20170102,MLS MULTIMEDIA SA,20660.5,3
AKTIETORGET,20170102,AMBIA TRADING GROUP AB,145.0756,3
OMX-Copenhagen (Denmark),20170102,ASGAARD GROUP A/S,320.1816,3
OMX-Copenhagen (Denmark),20170102,ASGAARD GROUP A/S,6666.1489,3
Warsaw Stock Exchange (Poland),20170102,WOJAS SA,2406.0736,3
Warsaw Stock Exchange (Poland),20170102,WOJAS SA,3608.4147,3
Warsaw Stock Exchange (Poland),20170102,WOJAS SA,2661.589,3
Warsaw Stock Exchange (Poland),20170102,WOJAS SA,3230.4783,3
OTC,20170102,HUMANA AB,2009179.184,2
NASDAQ STOCKHOLM AB,20170102,VITEC SOFTWARE GROUP AB,23531.2988,3
off exchange,20170102,SAY REKLAMCILIK YAPI DEKORAS,4171113.2712,2
OMX-Copenhagen (Denmark),20170102,ALM BRAND A/S,88124.4233,1
Wiener Boerse (Austria),20170102,UNTERNEHMENS INVEST AG,14300.0,3
Wiener Boerse (Austria),20170102,UNTERNEHMENS INVEST AG,2200.0,3
Frankfurt (Germany),20170102,AHLERS AG,13980.0,3
Frankfurt (Germany),20170102,AHLERS AG,13360.0,3
market transaction,20170102,JINHUI SHIPPING & TRANSN LTD,89866.253,3
Oslobors (Norway),20170102,NORDIC MINING ASA,751.4639,3
	FIRST NORTH SWEDEN,20170102,ARCTIC MINERALS AB,2271.93,3
Wiener Boerse (Austria),20170102,BWT GROUP,14950.0,1
market transaction,20170102,PRIVATE ASSETS AG,690.0,3
market transaction,20170102,MEDIKA DD,11441.5199,3
off exchange,20170102,SAY REKLAMCILIK YAPI DEKORAS,688660.858,2
NORDIC GROWTH MARKET,20170102,OBDUCAT AB,192.6968,3
Warsaw Stock Exchange (Poland),20170102,KRYNICA VITAMIN SA,30058.7041,3
OTC,20170102,SOCFINAL,14151390.0,2
off exchange,20170102,OUTOKUMPU OY,0.0,1
	FIRST NORTH SWEDEN,20170102,JAYS GROUP AB,15014.5374,3
market transaction,20170102,IBERDROLA SA,185400.0,3
OTC,20170102,EBRO FOODS SA,67500016.74,2
Italian regulated market (Italy),20170102,NOTORIOUS PICTURES SPA,13424.0,3
market transaction,20170102,BARON DE LEY SA,1760.18,3
market transaction,20170102,BARON DE LEY SA,36312.5,3
market transaction,20170102,BARON DE LEY SA,18795.0,3
Warsaw Stock Exchange (Poland),20170102,INTERSPORT POLSKA,433.5324,3
Warsaw Stock Exchange (Poland),20170102,INTERSPORT POLSKA,431.2626,3
Warsaw Stock Exchange (Poland),20170102,INTERSPORT POLSKA,1703.1014,3
Wiener Boerse (Austria),20170102,AMAG AUSTRIA METALL AG,16625.0,3
Wiener Boerse (Austria),20170102,AMAG AUSTRIA METALL AG,19896.0,3
OTC,20170102,DEUTSCHE KONSUM REIT AG,14110000.0,2
NOT OTC,20170102,TUI AG,3842693.4851,3
NOT OTC,20170102,TUI AG,4594857.82,3
NOT OTC,20170102,TUI AG,538522.09,3
NOT OTC,20170102,TUI AG,2176265.4942,3
Warsaw Stock Exchange (Poland),20170102,WDX SA,373.3826,3
Warsaw Stock Exchange (Poland),20170102,WDX SA,1838.3385,3
Warsaw Stock Exchange (Poland),20170102,WDX SA,1303.321,3
Warsaw Stock Exchange (Poland),20170102,WDX SA,1073.0903,3
Italian regulated market (Italy),20170102,OVS SPA,19867.71,3
off exchange,20170102,POWERCELL SWEDEN AB,188479.9572,1
Zagreb (Croatia),20170102,HRVATSKI TELEKOM DD,39039.2134,1
Zagreb (Croatia),20170102,HRVATSKI TELEKOM DD,61844.9782,1
Warsaw Stock Exchange (Poland),20170102,OPONEO.PL SA,74676.523,3
XETRA (Germany),20170102,SCHERZER & CO AG,25076.54,3
off exchange,20170102,KARSUSAN KARADENIZ SU URUNLE,15675.4349,2
off exchange,20170102,KARSUSAN KARADENIZ SU URUNLE,15675.4349,2
Warsaw Stock Exchange (Poland),20170102,KPPD SA,295.0744,3
Vilnius Stock Exchange (Lithuania),20170102,BANK OF SIAULIAI AB,3825.0,3
Vilnius Stock Exchange (Lithuania),20170102,BANK OF SIAULIAI AB,65250.0,3
off exchange,20170102,BYGGPARTNER I DALARNA HLDG,718373.8257,1
off exchange,20170102,BYGGPARTNER I DALARNA HLDG,1345908.8396,1
OMX-Helsinki (Finland),20170102,BASWARE OYJ,20027.0088,3
ATHEX (Greece),20170102,MINOAN LINES SA,297.6,3
ATHEX (Greece),20170102,MINOAN LINES SA,1917.6,3
Euronext Paris (France),20170102,FAIVELEY TRANSPORT,388200.0,2
off exchange,20170102,FAIVELEY TRANSPORT,213160.6201,1
OTC,20170102,HERMES INTERNATIONAL,1146900.0,2
Alternext Paris (France),20170102,DIETSWELL,144.15,3
Alternext Paris (France),20170102,ABIVAX SA,47865.5633,3
Alternext Paris (France),20170102,CARMAT,15600.0066,3
Euronext Paris (France),20170102,EUTELSAT COMMUNICATION,1987.2,3
Euronext Paris (France),20170102,COFACE SA,3110.0,3
Euronext Paris (France),20170102,DANONE,150014.9625,3
NASDAQ STOCKHOLM AB,20170102,ROTTNEROS AB,58273.6695,3
SIX (Switzerland),20170102,KUDELSKI SA,165064.7241,3
SIX (Switzerland),20170102,KUDELSKI SA,1766048.0002,3
Italian regulated market (Italy),20170102,ENEL SPA,851676.93,1
Italian regulated market (Italy),20170102,ENEL SPA,448682.658,3
